Company,Title,Category,Location,Responsibilities,Minimum Qualifications,Preferred Qualifications
Google,Operations Engineer,Technical Infrastructure,"The Dalles, OR, United States","Resolve tickets and enquiries without escalation following established procedures, including complex tickets escalated from Operations Assistants.
Act as a lead for core efforts such as repairs and projects using established procedures. Contribute to documentation.
Manage processes or help to develop them.
Configure and troubleshoot Linux OS-related issues.","BA/BS degree or equivalent practical experience.
Experience in hardware architecture, maintenance and repair.","Experience with data center server and networking hardware and with a demonstrated understanding of the infrastructure at a high level.
Experience as a team or project lead.
Intermediate networking knowledge, including basic topology and protocol understanding.
Intermediate level Linux skills, including installation, systems administration and troubleshooting.
Effective interpersonal and communication skills, with the ability to interact appropriately with users of various technical skill levels and to remains calm and courteous while working to resolve problems."
Google,"Networking Product Specialist, Google Cloud (English)",Technical Solutions,"Paris, France","Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading the technical project including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel frequently around EMEA for meetings, technical reviews and onsite delivery activities.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.","BA/BS degree in Computer Science or a related software engineering field, or equivalent practical experience.
Experience across cloud computing (infrastructure, storage, platforms and data), as well as cloud market, competitive dynamics and customer buying behavior.
Experience in advanced networking matters (Software-Defined Networking, Network Virtualization, Open Protocols, Application Acceleration and Load Balancing, and Virtual Private Networks).
Ability to speak and write in English fluently and idiomatically.","Master's degree in Computer Science or a related technical field.
Experience serving as a Technical Sales Engineer in a cloud computing environment or equivalent experience in a customer facing role (including working as a member of a professional services or systems engineering team).
Experience of writing code in a common web or mobile development language such as Java, Javascript, Python, GO, PHP, Android or iOS. Experience managing large and complex network implementations.
Experience installing, optimizing and maintaining large cross-country networks, leveraging both traditional and innovative protocol frameworks.
Working knowledge of Main Traditional Routing Protocols, TCP/IP, MPLS-VPN, IPSEC, Load Balancing, Network Security, DNS, Encryption and QoS.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the cloud/IT Technology space."
Google,"G Suite Strategic Cloud Engineer, Google Professional Services",Technical Solutions,"New York, NY, United States","Become a trusted technical advisor to customers and overcome complex implementation challenges.
Create and deliver best practice recommendations, tutorials, blog articles, sample code, and technical presentations adapting to different levels of key business and technical stakeholders.
Travel up to 30% of the time in-region for meetings, technical reviews and onsite delivery activities.","BA/BS degree in Computer Science, Mathematics or related technical field, or equivalent practical experience.
Experience writing scripts in one or more languages such as Python, Go and/or similar.
Experience working with technical customers.","Experience with hosted services and/or multi-tenant cloud infrastructures.
Experience with email administration, routing and hygiene with industry standard products.
Understanding of common enterprise directory administration systems such as Active Directory, OpenLDAP, and/or Domino Directory.
Understanding networking fundamentals and common enterprise networking architectures.
Familiarity with IT security practices such as identity and access management, device management and data protection.
Effective customer-facing communication and presentation skills."
Google,"Web Solutions Engineer, Product and Tools Operations",Software Engineering,"New York, NY, United States","Design, build, and deploy scalable software platforms for teams within Google Technical Services.
Ensure that technical solutions are designed in a way that enable other Analytical teams to easily access data for operational reporting and data visualization.
Collaborate with Product Engineers to enhance core platforms and create applications using standard and Google-specific software development tools.
Write and review technical documents, including design, development, revision documents and review code in compiled or scripted languages.
Analyze, review, and modify programs to increase operating efficiency or meet new requirements as well as execute testing, debugging, maintenance and/or program updates.","BS degree in Computer Science or related technical field, or equivalent practical experience.
4 years of experience working with front end languages such as HTML5, CSS, JavaScript (AngularJS). 4 years of experience with Java and/or Python.
Experience implementing software unit tests.
Experience with code reviews and working collaboratively on a shared codebase.","Experience with unit testing, agile project development, and bug/change management systems.
Demonstrated ability to operate flexibly in exercising judgment in a dynamic environment and able to manage competing priorities and deadlines.
Ability to quickly and independently provide technical solutions to business problems."
Google,"Supplier Development Engineering Manager, Mechanical Operations",Hardware Engineering,"Mountain View, CA, United States","Lead a team of engineers in a fast-paced and fluid environment. Collaborate with cross-functional teams including Product Design, Industrial Design, Project Management, Reliability Engineering, and Product Operations to deliver Google Hardware products to market.
Be the point of contact for identifying suitable manufacturing processes. Identify and highlight manufacturability issues during engineering builds to ensure product quality is stable and that supply is predictable during ramp.
Provide detailed and critical Design for Manufacturability (DFM) reviews of mechanical parts. Make recommendations to Product Design to improve manufacturing processes for quality, yield and cost.
Use statistical process control and yield studies to validate process capability, establish reasonable specifications, and drive process improvements in partnership with Tooling and Manufacturing Process Engineers.","Bachelor’s degree in Mechanical Engineering and/or Industrial Engineering or equivalent practical experience.
10 years of experience in enabling the transition of new products into high-volume production. Experience with core mechanical manufacturing processes, including injection molding, CNC machining, stamping, forging, casting, deep drawing, and surface finishing.
Experience with statistical process control, including Cp, Cpk, GR&R and with GD&T. Experience with DFx, fixture design and qualification, cosmetic inspection methods, measurement fixture design and metrology, and measurement correlation.
Experience in leading and managing a team of Manufacturing and Quality Engineers.","Demonstrated knowledge of common surface finishing operations, including: painting, plating, PVD, anodizing, polishing, lapping and sandblasting.
Knowledge of mechanical bonding processes, including: snap and press fits, ultrasonic welding, glueing, and application of pressure sensitive and liquid adhesives.
Demonstrated record of overseeing yield improvements and cycle time reductions for high volume, high complexity parts, with premium fit and finish.
Understanding of cosmetic quality standards; defining and measuring color, specifying and measuring surface finish, creating cosmetic defect catalogs and establishing grading limits. Drive cosmetic yield studies, and establish and review limit samples that meet the ID design intent.
Demonstrated ability to proactively influence the product design process by proposing improvements with associated data."
Google,"Technical Solutions Engineer, Chrome and Android, Google Cloud",Technical Solutions,"Sydney, Australia","Obtain and maintain an understanding of Google's product technology, architecture and implementation. Build and transfer knowledge to Google’s different support groups.
Guide or perform design and implementation of new support, productivity or investigation tools to increase efficiency for the technical support process.
Act as a consultant and knowledge base for Product Managers, Sales Engineers, Technical Account Managers, and Deployment Specialists to resolve technical deployment obstacles, improve product vision and make Google customers successful.
Work closely with multiple Product Management and Software Engineering teams to understand ways to improve the product, and interact with QA teams to drive exceptional testing quality.
Diagnose and resolve complex customer challenges for the Google Chrome product area in a third tier engineering-level support function as part of a global 24x7 global team.","BA/BS degree in Computer Science or a related technical field, or equivalent practical experience.
Industry experience in a Technical Support, Professional Services, Engineering, Sustaining Engineering and/or Systems Engineering capacity.","Experience implementing, troubleshooting, and supporting Internet-based applications, web servers and mail servers (e.g. Exchange, Lotus, sendmail, or Postfix). Experience with Identity Management or Directory Services.
Experience with managing hosted services/SaaS, and familiarity with programming/scripting (i.e. one or more of Java, C, C++, .NET, Python, shell, Perl, JavaScript).
Experience working with various Data Base Management Systems, data mining and analysis.
Excellent network administration and troubleshooting skills, with an understanding of Linux/Unix system administration. Understanding of Web and Mail-related standards, such as HTTP, HTML, XML, cookie-based SSO and SMTP.
Effective troubleshooting, follow-through and problem solving skills, resourcefulness, attention to detail, and communication skills, both verbal and written. Ability to keep pace with rapid changes in enterprise products."
Google,"Community Enablement Manager, Global Partner, Google Cloud",Program Management,"New York, NY, United States","Build consistent offerings to energize the market and ecosystem to partner with Google.
Design a compelling partner experience and management model for ensuring our partners are provided an effective partner experience invested in their growth with GCP.
Oversee on-line communities, Partner Advisory Councils and focus groups.","BA/BS degree in Computer Science or Software Engineering, or equivalent practical experience.
10 years of experience in partner programs working at a software or cloud company.
Experience building communities and partner management models.","MBA or Master's degree.
Experience with Partner Advisory Councils and Partner Focus Groups worldwide.
Experience with transition channel models to include cloud, SaaS, Services and Advisory Programs.
Ability to manage numerous infrastructure projects simultaneously and drive them to successful completion, with a wide range of stakeholders and timelines."
Google,"Supplier Development Engineer, Materials, Consumer Products",Hardware Engineering,"Mountain View, CA, United States","Be responsible for material and mechanical process engineering feasibility studies through theoretical simulation and practical engineering methods. Lead design and development of technically complex manufacturing process to enable new product designs and functional requirements.
Lead suppliers by providing technical direction in order to establish and validate (utilizing statistical tools) process capability during NPI phase to ensure consistent delivery of quality product in Mass Production. Drive project, technical and operational issues with regard to materials, process, fixtures, equipment, etc.
Collaborate with Suppliers and Engineering teams in assessing, proposing and developing process technologies based on project requirements. Drive cross-functional activities in the supply chain for overall Technical Operational readiness in all NPI phases leading into Mass Production.
Engage in development activities, working with cross-functional product teams, to understand and resolve technical issues, to perform early detection, and to highlight quality risks to core teams and management. Utilize DOE’s, FMEA and other Industry standard tools to proactively identify and address risks and to optimize process parameters.
Develop robust processes for FA on customer returns in order to synthesize the 'voice of the customer' into both process changes and product development cycles.","BS in Mechanical or Materials Engineering or equivalent practical experience.
10 years of experience with Design and Manufacturing in an NPI role.
Experience working with adhesives, coatings, and related processing.","MS in Mechanical or Materials Engineering.
Experience in managing functional engineering teams.
Project management experience, including effective data-handling, documentation, critical decision-making and organizational skills.
Experience in launching new products with Contract Manufacturers and ODMs.
Knowledge of quality and statistical tools and methods.
Organized and methodical with excellent verbal and written communication skills."
Google,"Partner Program Design Manager, Technology Partners, Google Cloud",Program Management,"Sunnyvale, CA, United States","Work cross-functionally to define the role of technology partners in Google Cloud’s go to market strategy.
Be an expert on the business model and economics of software and solution building partners and identify and advocate incentive levers available to Google to make them successful.
Deliver and iterate on our promise of a partner first approach to how Google Sales teams and reselling partners collaborate to provide an excellent customer experience.
Define the set of required enablement elements (tools, resources, etc.) for different segments of technology focused partners to build a profitable and growing business focused on Google Cloud technologies.
Define and manage the partner program system to reward partner investments and develop and convey the simple message on the value proposition of the partner program.","Bachelor's degree or equivalent practical experience.
5 years of experience in program management, partner development and/or channel sales roles in the business technology market.","Master's degree in a technical field (e.g. Computer Science/Software Engineering etc.) or an MBA.
10 years of partner programs experience at a Enterprise Software (or Cloud) company and experience with competitive partner programs.
Ability to manage numerous projects simultaneously and drive them to successful completion, with a wide range of stakeholders and tight timelines.
Enthusiastic problem solver who has a solid track record in designing and executing large scale sales programs across multiple regions and teams, and works well in a fast-paced, dynamic environment.
Passionate about the partners, possessing the drive to achieve quick results, and have the capacity to assume increasing responsibility in a highly successful, fast-paced global organization.
Strong communication and interpersonal skills and an ability to influence at executive levels."
Google,"Application Engineer, SAP",Technical Infrastructure,"Sunnyvale, CA, United States","Partner with internal teams to define and implement solutions that improve internal business processes. Integrate third party products into SAP as well as support and upgrade implemented systems.
Develop, build and deploy applications using SAP platforms and technologies.
Work closely with analysts to translate business requirements into technical solutions.
Maintain highest levels of development practices including: technical design, solution development, systems configuration, test documentation/execution, issue identification and resolution, writing clean, modular and self-sustaining code.
Architect innovative solutions to automate and scale business systems.","BS degree in Computer Science or related technical field, or equivalent practical experience.
5 years of experience implementing and customizing vendor software and/or building custom financial applications through full system implementation life-cycles (analyze, design, build, test, implement, support).
Experience with one or more functional areas: Treasury, Procure to Pay, Supply chain, Logistics, IT Asset Management.
Experience with SAP S4/HANA modules, SAP ABAP development platform and Web-app Software Development.","MS degree in Computer Science or related technical field, or equivalent practical experience.
Experience working with systems that handle financial data.
Experience implementing/customizing SAP Treasury management application.
Experience with Java, JavaScript, HTML5, and SAP technologies like SAP HANA, SAP Fiori, Netweaver.
Solid understanding of information management, data modeling, system integration, development methodologies (including unit testing)."
Google,"Manager, Technical Specialists, Google Technical Services",Technical Solutions,"Hamburg, Germany","Manage a team of technical specialists - setting objectives; analysing, reporting and improving performance; sponsoring strategic initiatives; providing feedback and coaching.
Lead and/or sponsor strategic, cross-functional initiatives, in collaboration with the wider EMEA and global Platforms leadership teams.
Partner with the DACH and CE Sales on strategies to support client development and satisfaction.
Be the escalation point and partner with your team on client projects and teach them through execution.
Client facing responsibilities to support team in delivering services and develop initiatives and solutions that will enhance customer experience","BA/BS degree in Computer Science or related technical field or equivalent practical experience.
Experience leading/managing services, operations or sales team.
Experience developing team strategy and managing team performance.
Experience managing strategic cross-functional relationships with sales teams and working with global senior stakeholders.","Experience collaborating internationally with multiple stakeholders to lead long term projects to completion.
Experience with the DoubleClick Suite, AdWords, Analytics or similar online Advertising suites.
Experience in managing and developing Professional Service offerings.
Strong data analysis, ability to deal with ambiguity, solve complex problems and scale effectively across a large organization and highly distributed team.
Expertise in technical project management."
Google,"Software Engineering Manager, G Suite",Software Engineering,"Sunnyvale, CA, United States","Manage a team of Software Engineers, including task planning and code reviews.
Drive technical projects and provide leadership in an innovative and fast-paced environment.
Be responsible for the overall planning, execution and success of complex technical projects.
Contribute technically to projects.
Work closely with Product Management team to ensure we're building the best products.","BA/BS degree in Computer Science, related field or equivalent practical experience.
5 years of experience in technical leadership and people management.
3 years of experience leading full-stack development projects.
Experience programming in one of the following: Java, JavaScript and/or C++.","Master's degree or PhD in Computer Science or related field.
10 years of relevant industry experience.
Experience in web development with HTML and HTML5.
Expertise in problem-solving and technical innovation."
Google,"Program Manager, Security Ecosystem, Google Cloud",Program Management,"Sunnyvale, CA, United States","Deliver compelling amplification programs with technology partners and customer advocates, highlighting the benefits of Google Cloud security solutions.
Strategize and execute a drumbeat of partner/customer-first proof points and success stories related to cloud security.
Serve as the ecosystem advocate for our assigned products and work towards strategic business goals.","BA/BS degree or equivalent practical experience.
6 years of technology and/or B2B marketing experience.","Experience working with technology partners and customer executives, along with content and media agencies.
Experience planning, implementing and analyzing marketing programs, including budget management.
Experience marketing business security products.
Ability to create and present content for a variety of audiences.
Effective organization and communication skills, with the ability to collaborate with cross-functional Product, Sales and Marketing teams."
Google,"Technical Solutions Engineer, Firebase, Google Cloud",Technical Solutions,"Waterloo, ON, Canada","Diagnose and resolve customer problems for Firebase products; Engineer and implement new operations, productivity and investigation tools to increase efficiency for Technical Solutions Engineering.
Act as a consultant and subject matter expert for Product Managers, Software Engineering teams, Sales Engineers, Site Reliability Engineers, and Strategic Customer Engineers to resolve technical deployment obstacles and improve the product's vision.
Obtain and maintain an in-depth understanding of Google's product technology and underlying hardware and software architectures, to build in-product self-service solutions.
Work closely with multiple Product Management and Software Engineering teams on understanding ways to improve the product, and interact with our Site Reliability Engineering (SRE) teams to drive production excellence.
Be an advocate for our customers in representing their issues to Product Management and Software Engineering and develop innovative ways to resolve issues.","BA/BS degree in Computer Science or a related technical field, or equivalent practical experience.
2 years of industry experience in technical support, professional services, engineering, sustaining engineering or systems engineering.","Experience with mobile app development in a corporate environment
Experience with Java for Android, Objective-C for iOS, HTML, JavaScript
Experience implementing, troubleshooting, and supporting mobile applications, web servers, and data storage
Experience with cloud storage solutions or SQL database administration
Strong understanding of web development protocols (i.e. HTML5, AJAX, XML, JSON, RFCs 2109/2965, 1945/2616).
Outstanding account management, follow-through, resourcefulness, attention to detail and verbal and written communication skills."
Google,"Machine Learning Product Specialist, Google Cloud (EMEA)",Technical Solutions,"München, Germany","Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading the technical project, including such activities as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel frequently around EMEA for meetings, technical reviews and onsite delivery activities.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.","BA/BS degree in Computer Science or a related software engineering field, or equivalent practical experience.
Experience across cloud computing (infrastructure, storage, platforms and data), as well as cloud market, competitive dynamics and customer buying behavior.
Experience working with technologies in the Machine Learning/Big Data ecosystem.
Ability to speak and write in English fluently and idiomatically.","Master's degree in Computer Science or a related technical technical field.
Experience writing code for Machine Learning purposes. Experience with Big Data and Platform/Infrastructure-as-a-Service (PaaS/IaaS) technologies.
Ability to advise customers on how to collect data for a given problem, clean it, visualize it, extract features from it and choose the right type of learning algorithm.
Ability to explain and demystify relevant techniques to those who are new to Machine Learning, with the ability to advise customers on making tradeoffs.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the cloud technology space."
Google,"Customer Solutions Engineer, Google Technical Services Ads",Technical Solutions,"Mumbai, India","Work closely with our sales team. Identify, develop, and optimize the new business opportunities, and develop warm client relationships by leveraging Google products and technologies.
Develop cutting-edge solutions as the technical lead and provide consulting services to our partners; build lasting relationships and be sensitive to clients’ needs.
Propose, design, create and present prototypes, demos and proofs-of-concept to a wide variety of audiences, from engineers to marketing professionals.
Develop deep relationships with our customers by delivering deep technical value to their online, digital initiatives.
Travel as required to meet with specific partners and clients in the region.","BA/BS degree in Computer Science or a related technical subject, or equivalent practical experience.
Experience with web technologies such as HTML, CSS, JavaScript, and HTTP. Experience with database querying and optimization.
Experience in one or more programming languages, including Java, C++, Python.
Experience working with and managing external partners/customers.","MBA degree or Master’s degree in Computer Science or related field.
2 years of experience in the online advertising industry.
Customer facing experience in sales, sales engineering, consulting or related function.
Proven ability to adapt your message to the technical level of the audience and comfort presenting technical materials to groups of any size and background.
Excellent project management skills and attention to detail."
Google,Customer Success Manager,Program Management,"Palo Alto, CA, United States","Onboard new customer organizations and maintain strong relationships with these organizations
Drive adoption and engagement of our solution within enterprise environments
Understand and advocate for the needs of individual users and organizations that ladder up to greater processes we are trying to drive
Become a strategic partner that helps organizations mature by sharing insights from your personal experience and exposure to other organizations
Expand engagements of existing customers with our products, and manage renewals of business agreements","Bachelor's degree or equivalent practical experience.
3 years of experience as a Customer Success Manager, Account Manager, Solutions Consultant, or related position for an enterprise SaaS product.
Experience selling/communicating functionality and how this functionality adds value to organizations. Experience influencing and collaborating with Product teams.
Experience onboarding customer organizations and maintaining those relationships throughout the customer lifecycle","5 years of experience as a Customer Success Manager, Account Manager, Solutions Consultant, or related position for an enterprise SaaS product.
Experience managing renewal conversations and renewing existing agreements and delivering Customer Success services at scale.
Experience in the HR space
Strong problem solving and analytical skills; ability to evolve business and product strategy based on research, data and industry
Strong people and organizational management skills; a natural leader and mentor. Ability to adapt to a rapidly changing product and respond strategically to customer needs.
Strong cross-functional project management, communication, and stakeholder management skills"
Google,"Measurement Solutions Consultant (English, Japanese)",Technical Solutions,"Tokyo, Japan","Guide partners and clients through the entire implementation process.
Consult with stakeholders to define the project structure, requirements and priorities.
Manage customer expectations of product delivery by establishing a trusted relationship and regularly communicating project status and requirements.
Identify potential opportunities for service partner development and education.
Investigate and track client concerns and collaborate to resolve any account issues. Work with other departments within GA360 to actively own and resolve project-related issues.","Experience managing analytics solutions.
Experience managing client expectations and requirements. Experience in conflict resolution.
Ability to speak and write in English and Japanese fluently and idiomatically.","Experience using and/or deploying digital analytics and measurement solutions
Experience with SaaS model.
Experience with data analytics, big data and data warehouses. Experience with the data flow process – ingesting, manipulating and running reports.
Knowledge in data driven attribution, methodology and attribution solutions. Familiarity with digital media (e.g., display, paid search, video ads, mobile ads, email marketing, affiliates) and familiarity with marketing/media performance reports and metrics.
Understanding of database tables. Familiar with SQL and relational databases
Project management skills: Timelines, milestones, expectation setting, cross-functional team management, organization and prioritization skills"
Google,Network Operations Engineer,Network Engineering,"Manila, Philippines","Handle escalated trouble calls and work closely with engineering, field technicians, and telecommunications carriers to resolve service issues. Validate problem descriptions and perform detailed problem diagnosis. Track and update problems in a ticketing system.
Perform scheduled configuration changes to network switches and routers, firewalls and wireless devices.
Identify network issues and determine and recommend appropriate solutions.
Participate in rotating “on call” schedule with other members of the team, including during weekends.
Provide quality documentation and deliver presentations about network issues, updates, troubleshooting techniques, etc.","BA/BS degree in a technical field or equivalent practical experience.
4 years of experience in implementing and/or supporting large/wide area networks. Experience with network change-management control policies.
Experience with TCP/IP fundamentals and commonly-used routing protocols (e.g. OSPF, BGP, MPLS, etc).","Experience in working with/for network platform providers.
Experience with Software Defined Network (SDN) technologies.
Experience in Python and/or Go.
Good LAN and WAN troubleshooting skills, with a solid understanding of network security."
Google,"Program Manager, Alphabet Treasury, Corporate Engineering",Program Management,"Sunnyvale, CA, United States","Oversee the daily operations of the project team and workstreams to ensure on-time delivery.
Coordinate with key stakeholders to determine project scope and to prepare project proposals and statements of work.
Establish program approach including but not limited to deliverables mapping with different stages of the project as well as establish sign-off process for the same.
Engage with third-party vendors to ensure proper alignment and management of activities.
Manage program managers responsible for assisting in performing responsibilities. Communicate project status and proactively alert key stakeholders to project or timeline issues.","BA/BS degree in Computer Science or related technology field or equivalent practical experience.
7 years of program management experience in a technical field.
Experience with Finance processes (e.g. accounting, planning and budgeting, business intelligence, payroll, procure-to-pay, order-to-cash, treasury).","7 years of program management experience or 10 years of relevant work experience.
Experience with process redesign, transformational work, and with SAP Treasury management or other third-party Treasury applications.
Experience with waterfall and agile project management methodologies.
Strong project management capabilities, with proven track record of successfully leading complex, medium to large-scale projects.
Ability to integrate as a member of a team composed of both technical and non-technical members.
Excellent oral and written communication, interpersonal and analytical skills."
Google,"Head of Professional Services (English, French)",Program Management,"Paris, France","Set the standard for successful delivery and execution regarding customer engagements. Lead by example when it comes to making customers in your region successful.
Share best practices proactively with your counterparts in other regions. Emphasize shared success across your team and across regions.
Establish and maintain your team’s position as key strategic advisor to business executives and IT stakeholders for Google Cloud’s accounts, ensuring their business priorities are met using Google Cloud solutions.
Work with customer technical leads, client executives, and partners to manage and deliver successful migrations to Google Cloud solutions.
Build the capabilities of Google’s channel partners in your region by establishing Professional Services Organization (PSO)/partner go-to-market strategies, and by actively developing and sharing best practice recommendations gained during customer engagements.","BA/BS degree or equivalent practical experience.
Experience in creating and implementing public/hybrid cloud solution architectures or large-scale enterprise infrastructure migration plans. Experience in managing, scaling and running a technical team using a data driven approach. Experience in onboarding, mentoring and professionally contributing to the development of teammates.
Ability to speak and write in English and French fluently and idiomatically.
Ability to travel, both domestically and internationally, up to 30% of the time as required.","Experience in application/workload migration with cloud-based enterprise solutions (e.g. AWS, Azure or Google Cloud Platform, etc).
Demonstrated experience in account management, client service and/or management consulting
Experience in working with channel partners, systems integrators, and third party developers to deliver successful solutions.
Demonstrated ability to present technical materials effectively to diverse stakeholder groups, and to engage effectively with senior executives of large enterprises on both technical and non-technical matters.
Ability to work effectively with a cross-functional and geographically dispersed team and customer base."
Google,Video Algorithm Engineer,Software Engineering,"Xinyi District, Taiwan","Design video compression and image processing algorithms for hardware implementations
Design efficient data paths and architectures for hardware video codec and pre/post-processing functions
Work with world leading codec teams and video service providers to develop next-generation video codecs","Experience programming in C/C++.
Experience in modern video codec (HEVC, VP9, AV1) algorithm research or development.
Experience in software design and debugging.","MS or PhD degree or equivalent practical experience.
8 years of relevant work experience in designing core algorithms for video codec implementations.
Experience in modeling video codec hardware implementations.
Experience in C to RTL high-level synthesis hardware design methodologies.
Excellent C++, Python and shell programming skills."
Google,"Brand Specialist, Google Professional Services",Technical Solutions,"Dublin, Ireland","Manage the set up, support, delivery, optimization and reporting of YouTube reservation ad campaigns. Coordinate service at scale in partnerships, working with our vendor teams.
Provide specialized sales, creative and technical product expertise to account teams, advertisers, agencies and industry partners, acting as the primary point of contact for reservation advertising.
Liaise with the regional and global Google Technical Services Product and Tools teams to further improve reservation products and to optimize existing reservation tools and systems. Drive education initiatives to increase knowledge of Google reserve products and processes with agencies.
Work proactively to improve efficiency, and consistently look for processes to scale appropriately. Support and advocate for new YouTube Ad features, ensuring prompt and proper resolution of technical challenges.
Develop and manage one or more areas of product expertise, acting as the teams Subject Matter Expert (SME). Troubleshoot and resolve complex issues, providing outstanding support across our platform technologies.","BA/BS degree or equivalent practical experience.
Experience in ad operations, ad trafficking, rich media and/or inventory management.","Demonstrated knowledge of HTML, CSS, JavaScript or ActionScript, and knowledge of advertising tags (Mediaplex, Atlas, DoubleClick).
Detail oriented, with the ability to prioritize and quickly complete a large volume of high-quality work while working collaboratively with multiple stakeholders.
Ability to present to sales, technical and marketing audiences.
Ability to absorb complex technical concepts, and to communicate them to a non-technical audience.
Ability to problem solve and to manage multiple tasks at a time while paying strict attention to detail.
Effective communication, relationship-building and project management skills."
Google,"Security Product Specialist, Google Cloud Platform",Technical Solutions,"Zürich, Switzerland","Work as part of a Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements, conduct full technical discovery and architect client solutions to meet gathered requirements.
Take responsibility for leading technical projects, including activities such as technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and the coordination of supporting technical resources.
Work hands-on with Google Cloud Platform products to demonstrate and prototype integrations in customer/partner environments. Travel frequently around EMEA as required for meetings, technical reviews and onsite delivery activities.
Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations, product demonstrations, white papers, trial management and RFI response documents.
Make recommendations on integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness.","BA/BS degree in Computer Science or a related software engineering field, or equivalent practical experience.
Experience working across all aspects of cloud computing (infrastructure, storage, platforms and data), as well as cloud market, competitive dynamics and customer buying behavior.
Experience working across advanced security matters (Authentication Protocols, Identity and Access Management Systems, Key Management Systems, encryptions, securing mobile OS systems, securing complex cloud architectures, Incident Management, Network and End-Points Security, etc).","Master's degree in Computer Science or a related technical technical field.
Experience serving as a Customer Service Operative or Technical Sales Engineer in a cloud computing environment or equivalent experience in a customer facing role (including working as a member of a professional services or systems engineering team).
Experience writing code in a common web or mobile development language (Java, Javascript, Python, GO and PHP) and experience developing for Android or iOS platforms.
Experience installing, optimizing and maintaining large cross-country networks, leveraging both traditional and innovative protocol frameworks. Experience in managing large and complex network implementations.
Knowledge of Main Traditional Security Protocols (OAuth, OpenID, HTTPS-TLS-SSL, PKI), and knowledge of Identity and Access Management solutions and Encryption solutions.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the cloud/IT Technology space."
Google,"Web Solutions Engineer, Product and Tools Operations",Software Engineering,"Mountain View, CA, United States","Design, build, and deploy scalable software platforms for teams within Google Technical Services.
Ensure that technical solutions are designed in a way that enable other Analytical teams to easily access data for operational reporting and data visualization.
Collaborate with Product Engineers to enhance core platforms and create applications using standard and Google-specific software development tools.
Write and review technical documents, including design, development, revision documents and review code in compiled or scripted languages.
Analyze, review, and modify programs to increase operating efficiency or meet new requirements as well as execute testing, debugging, maintenance and/or program updates.","BS degree in Computer Science or related technical field, or equivalent practical experience.
4 years of experience working with front end languages such as HTML5, CSS, JavaScript (AngularJS). 4 years of experience with Java and/or Python.
Experience implementing software unit tests.
Experience with code reviews and working collaboratively on a shared codebase.","Experience with unit testing, agile project development, and bug/change management systems.
Demonstrated ability to operate flexibly in exercising judgment in a dynamic environment and able to manage competing priorities and deadlines.
Ability to quickly and independently provide technical solutions to business problems."
Google,"High-level Synthesis Design Engineer, Consumer Hardware",Software Engineering,"Xinyi District, Taiwan","Work with multiple research and product teams at Google to plan and discover new opportunities for hardware acceleration.
Design, implement and optimize algorithms turning them into low-power custom hardware using HLS.
Develop, test, maintain and improve HLS based designs.
Develop control and test software for the HLS accelerators.","BS degree in computer science, electrical engineering, computer engineering, or equivalent experience
Experience with high-level synthesis design methodologies and tools (e.g. Vivado, Catapult or Stratus)
Experience with the digital design flow (design, verification, area/timing/power optimization)
Experience in low-level C/C++ design suitable for hardware implementations","MS/PhD degree in computer science, electrical engineering, computer engineering, or equivalent experience
Experience in breaking down high-level signal processing algorithms and turning them into real-time capable and silicon area efficient adaptations while making the necessary trade-offs between cost and quality.
Experience with FPGA prototyping
Experience in hardware bring up, drivers and application software
Experience with C/C++, Python, SystemVerilog, Verilog, Bash"
